                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2957,                   1.12,                 1.4436,                 1.3375,                 1.3237,                 1.4177,                0.67027,                0.63934,                0.70668,                0.39405,                 1.4634,                 1.1715,                 1.5316,                 1.5069,                 1.3071,                 1.5234,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.266,                 1.1763,                 1.4139,                 1.3004,                  1.362,                 1.3994,                0.62616,                0.63115,                0.66804,                0.38388,                 1.5087,                  1.288,                 1.6334,                 1.5518,                 1.2975,                 1.6318,               0.000911,               0.000911,               0.000911
                     58,                 1.2592,                 1.1375,                 1.4077,                  1.332,                 1.3367,                 1.3825,                0.70652,                0.71311,                0.76057,                0.41265,                 1.5382,                 1.1464,                   1.63,                 1.4891,                   1.29,                 1.5738,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2025,                 1.0628,                 1.3634,                 1.2579,                 1.2467,                 1.3449,                0.64321,                0.77049,                0.76153,                0.43246,                 1.4768,                 1.1309,                 1.6212,                 1.4436,                 1.3154,                 1.5381,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.2225,                 1.1035,                 1.3765,                 1.2747,                 1.3115,                 1.3538,                0.64187,                0.72951,                0.73696,                0.41159,                 1.4809,                 1.1475,                 1.5939,                 1.4611,                 1.2599,                 1.5408,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.258,                 1.1097,                 1.4065,                 1.2847,                 1.3132,                 1.3878,                0.74997,                0.71301,                0.79764,                0.46586,                 1.4074,                 1.0467,                  1.501,                 1.4314,                 1.1006,                 1.4639,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2162,                 1.0679,                 1.3685,                  1.272,                 1.2628,                 1.3672,                0.81293,                0.68852,                0.80898,                0.46284,                 1.4559,                 1.0211,                 1.5155,                 1.4933,                  1.067,                 1.4733,               0.000812,               0.000812,               0.000812
                     63,                 1.2506,                  1.118,                  1.396,                 1.2754,                 1.3195,                 1.3554,                0.69057,                0.70492,                0.76303,                0.44837,                  1.434,                 1.0601,                 1.5686,                 1.4181,                 1.1873,                 1.4554,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2269,                 1.0843,                 1.3758,                 1.2657,                 1.2476,                 1.3473,                0.70274,                0.68033,                0.72381,                0.42232,                 1.4823,                 1.1015,                  1.596,                 1.4726,                 1.2546,                 1.5104,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2647,                 1.1332,                  1.432,                 1.3057,                 1.3487,                 1.4128,                0.73947,                0.68033,                0.72953,                0.40228,                 1.5866,                 1.1246,                 1.6913,                 1.5941,                 1.1744,                 1.6373,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.207,                 1.0503,                 1.3615,                 1.2644,                 1.2463,                 1.3537,                0.80065,                0.63115,                0.72978,                0.42168,                 1.5069,                  1.171,                 1.6257,                 1.5506,                 1.1711,                 1.5752,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2436,                 1.0987,                 1.3904,                   1.28,                 1.3208,                 1.3847,                0.69193,                 0.7377,                  0.769,                0.46318,                 1.4395,                 1.0381,                 1.5798,                 1.4495,                 1.1937,                 1.5231,               0.000713,               0.000713,               0.000713
                     68,                 1.1955,                 1.0402,                   1.36,                 1.2635,                  1.228,                 1.3617,                0.61408,                 0.7956,                0.72903,                 0.4277,                  1.455,                 1.1362,                 1.6107,                 1.4583,                 1.2826,                 1.5343,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2129,                 1.0248,                 1.3776,                 1.2671,                 1.2068,                 1.3946,                0.66111,                0.70358,                0.77113,                0.46001,                 1.3886,                 1.0102,                 1.5393,                  1.385,                 1.1595,                 1.4639,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1683,                0.96656,                 1.3304,                  1.222,                 1.1116,                 1.3283,                0.74695,                0.72586,                0.77741,                0.46433,                  1.376,                 1.0296,                 1.5096,                 1.4011,                 1.1242,                 1.4906,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1747,                 1.0222,                 1.3539,                 1.2812,                 1.2208,                 1.3639,                0.73508,                0.70504,                0.76791,                0.42787,                 1.4549,                  1.054,                 1.5949,                 1.5133,                 1.1827,                 1.5779,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1956,                 1.0197,                 1.3635,                 1.2417,                 1.1361,                 1.3448,                0.61564,                0.72131,                0.70341,                0.38423,                  1.539,                 1.1633,                 1.7202,                 1.5393,                 1.3033,                 1.6025,               0.000614,               0.000614,               0.000614
                     73,                  1.139,                0.98695,                 1.3426,                 1.2028,                  1.137,                 1.3355,                0.74287,                0.71046,                0.78149,                0.45743,                 1.4151,                0.99236,                 1.5864,                  1.456,                 1.1111,                 1.5481,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1802,                 1.0244,                 1.3531,                 1.2123,                 1.2017,                 1.3376,                0.73277,                 0.7541,                0.78552,                0.43481,                 1.4726,                 1.0911,                 1.6084,                 1.4925,                 1.1698,                 1.5373,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1887,                 1.0285,                 1.3918,                  1.255,                 1.2095,                 1.3852,                0.72795,                0.70492,                0.76853,                0.43056,                 1.4683,                   1.05,                 1.6249,                 1.4787,                 1.1363,                 1.5046,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.1167,                 1.0231,                 1.3247,                 1.1771,                 1.2241,                 1.3124,                 0.7143,                 0.7623,                0.77979,                0.44931,                 1.4387,                 1.0415,                 1.6108,                 1.4574,                 1.1643,                  1.536,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1015,                0.94583,                 1.3066,                 1.1485,                 1.0974,                 1.3016,                 0.7809,                0.70117,                0.79367,                 0.4575,                 1.4397,                 1.0038,                 1.5776,                 1.4147,                 1.1449,                 1.4974,               0.000515,               0.000515,               0.000515
                     78,                 1.1089,                0.93596,                 1.3081,                 1.1603,                 1.1305,                 1.3088,                0.68978,                0.71082,                 0.7605,                0.44482,                 1.4477,                 1.0618,                 1.6042,                 1.4668,                 1.1123,                 1.5334,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1192,                0.96159,                 1.2898,                 1.1901,                 1.1284,                 1.3078,                0.67558,                0.71692,                0.74932,                 0.4428,                 1.4068,                  1.083,                 1.5746,                  1.421,                 1.1745,                 1.5302,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1551,                0.94688,                 1.3431,                 1.1934,                 1.1055,                 1.3268,                0.71745,                0.74929,                0.76692,                0.44133,                 1.4041,                 1.0486,                 1.5412,                 1.4644,                 1.1932,                 1.5265,              0.0004556,              0.0004556,              0.0004556
